"country","year","ciri","cow","polity","unctry","unreg","unsubreg","human_rights_score","physint_sum","repression_sum","civpol_sum","workerrights_practices_sum","workerrights_laws_sum","disap","kill","polpris","tort","bbatrocity","bbatrocity_intensity","assn","formov","dommov","speech","elecsd","rel_free","wecon","wopol","wosoc_p","union_p","barg_p","hour_p","force_p","child_p","wage_p","safe_p","trafficking_p","injud","ngo_freedom","trial_p","wosoc_l","union_l","barg_l","hour_l","force_l","child_l","wage_l","safe_l","trafficking_l","trial_l"
"Czech Republic",2021,239,316,316,203,150,151,NA,7,NA,NA,9,11,2,2,2,1,0,NA,2,NA,1,2,2,NA,NA,NA,3,1,1,1,1,2,1,2,NA,2,2,2,3,1,1,1,2,2,2,2,NA,3
"Gambia, The",2021,293,420,420,270,2,11,NA,7,NA,NA,2,5,2,2,2,1,0,NA,1,NA,1,1,1,NA,NA,NA,0,0,0,0,1,1,0,0,NA,2,2,2,1,1,1,1,1,1,0,0,NA,3
"Ethiopia",2021,278,530,529,231,2,14,NA,2,NA,NA,2,5,1,0,1,0,1,1,1,NA,1,1,0,NA,NA,NA,1,0,0,0,1,1,0,0,NA,1,1,0,1,1,0,1,1,1,0,1,NA,1
"Eswatini",2021,605,572,572,233,150,154,NA,2,NA,NA,3,8,1,0,1,0,1,1,1,NA,1,0,0,NA,NA,NA,0,0,0,0,1,1,1,0,NA,0,2,0,0,0,1,1,2,1,2,1,NA,1
"Ukraine",2021,653,369,369,804,150,151,NA,4,NA,NA,2,7,1,1,1,1,0,NA,1,NA,0,1,1,NA,NA,NA,2,0,0,0,1,1,0,0,NA,0,1,0,3,0,0,2,1,2,2,0,NA,1
"Uzbekistan",2021,668,704,704,860,142,62,NA,3,NA,NA,5,9,2,1,0,0,0,NA,1,NA,1,1,0,NA,NA,NA,2,1,0,1,1,1,1,0,NA,0,1,1,3,1,0,2,1,2,2,1,NA,1
"Ghana",2021,302,452,452,288,2,11,NA,5,NA,NA,2,7,2,1,2,0,0,NA,1,NA,1,1,1,NA,NA,NA,1,1,1,0,0,0,0,0,NA,1,3,1,2,1,1,1,1,1,1,1,NA,2
"Venezuela",2021,674,101,101,862,419,5,NA,1,NA,NA,1,5,1,0,0,0,1,2,0,NA,0,0,0,NA,NA,NA,3,0,0,1,0,0,0,0,NA,0,0,0,3,1,1,2,0,1,0,0,NA,1
"Poland",2021,518,290,290,616,150,151,NA,6,NA,NA,5,11,2,1,2,1,0,NA,1,NA,2,1,1,NA,NA,NA,2,1,1,0,1,1,0,1,NA,0,2,1,3,1,1,2,2,2,2,1,NA,3
"Nauru",2021,470,970,970,520,9,57,NA,7,NA,NA,4,4,2,2,2,1,0,NA,1,NA,1,1,0,NA,NA,NA,3,0,0,1,1,0,2,0,NA,2,2,2,3,0,0,1,1,0,2,0,NA,2
"Guinea-Bissau",2021,317,404,404,624,2,11,NA,7,NA,NA,NA,6,2,2,2,1,0,NA,1,NA,1,1,1,NA,NA,NA,1,0,NA,1,1,1,0,0,NA,0,2,0,2,0,1,2,1,1,1,0,NA,2
"Saint Vincent and the Grenadines",2021,542,57,57,670,419,29,NA,8,NA,NA,6,8,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,1,1,1,1,1,1,0,NA,2,2,3,3,1,1,1,2,2,1,0,NA,3
"Nigeria",2021,488,475,475,566,2,11,NA,1,NA,NA,1,3,0,0,1,0,1,2,1,NA,1,1,1,NA,NA,NA,0,0,0,0,1,0,0,0,NA,0,1,0,1,0,0,1,1,1,0,0,NA,1
"Morocco",2021,461,600,600,504,2,15,NA,3,NA,NA,4,8,1,1,1,0,0,NA,0,NA,1,0,1,NA,NA,NA,2,1,1,0,1,0,1,0,NA,0,0,0,2,1,1,1,2,1,2,0,NA,1
"Namibia",2021,467,565,565,516,2,18,NA,7,NA,NA,5,9,2,1,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,2,1,1,1,1,1,0,0,NA,2,2,1,2,1,1,1,1,2,2,1,NA,2
